,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
35,2009 Hyundai Accent Executive,noida,713336 km•  Petrol•   Jangpura,1.1,sedan,manual,dealer,third-owner-or-more,white,['2009'],['Hyundai'],['Petrol'],['713336']
36,2011 Hyundai Verna Transform SX VGT CRDi,noida,150000 km•  Diesel,1.9,sedan,manual,individual,third-owner-or-more,white,['2011'],['Hyundai'],['Diesel'],['150000']
37,2010 Tata Indigo CR4,noida,30000 km•  Diesel,2.3,sedan,manual,individual,third-owner-or-more,white,['2010'],['Tata'],['Diesel'],['30000']
38,2014 Honda Amaze S i-Vtech,noida,36000 km•  Petrol•   Sector 16,3.75,sedan,manual,dealer,first-owner,silver,['2014'],['Honda'],['Petrol'],"['36000', '16']"
39,2018 Honda Amaze VX i-VTEC,noida,27000 km•  Petrol•   Noida,6.75,sedan,manual,dealer,first-owner,silver,['2018'],['Honda'],['Petrol'],['27000']
40,2017 Maruti Ciaz VDi Plus SHVS,noida,50000 km•  Diesel,7.5,sedan,manual,individual,first-owner,silver,['2017'],['Maruti'],['Diesel'],['50000']
41,2014 Hyundai Verna 1.6 SX,noida,60000 km•  Diesel•   Naraina,5.25,sedan,manual,dealer,second-owner,silver,['2014'],['Hyundai'],['Diesel'],['60000']
42,2013 Volkswagen Vento Diesel Highline,noida,87000 km•  Diesel•   Pandav Nagar,4.25,sedan,manual,dealer,second-owner,silver,['2013'],['Volkswagen'],['Diesel'],['87000']
43,2014 Hyundai Verna SX Diesel,noida,65000 km•  Diesel•   Subhash Nagar,4.95,sedan,manual,dealer,second-owner,silver,['2014'],['Hyundai'],['Diesel'],['65000']
44,2014 Honda Amaze S i-DTEC,noida,65232 km•  Diesel•   Pitampura,3.65,sedan,manual,dealer,second-owner,silver,['2014'],['Honda'],['Diesel'],['65232']
45,2013 Honda Amaze EX i-Dtech,noida,67983 km•  Diesel•   Jangpura,3.33,sedan,manual,dealer,second-owner,silver,['2013'],['Honda'],['Diesel'],['67983']
46,2006 Mercedes-Benz New C-Class 200 Kompressor,noida,89000 km•  Petrol•   Jangpura,4,sedan,manual,dealer,second-owner,silver,['2006'],['Mercedes-Benz'],['Petrol'],['89000']
47,2013 Maruti Swift Dzire Ldi BSIV,noida,87000 km•  Diesel•   Paschim Vihar,2.75,sedan,manual,dealer,second-owner,silver,['2013'],['Maruti'],['Diesel'],['87000']
48,2013 Toyota Etios GD,noida,72000 km•  Diesel•   Karam Pura,3.5,sedan,manual,dealer,second-owner,silver,['2013'],['Toyota'],['Diesel'],['72000']
49,2009 Honda City 1.5 S MT,noida,59000 km•  Petrol•   Ramesh Nagar,2.75,sedan,manual,dealer,second-owner,silver,['2009'],['Honda'],['Petrol'],['59000']
50,2013 Maruti Swift Dzire VDI,noida,90001 km•  Diesel•   Rajender Nagar,3.45,sedan,manual,dealer,second-owner,silver,['2013'],['Maruti'],['Diesel'],['90001']
51,2008 Honda Civic 1.8 (E) MT,noida,78000 km•  Petrol•   Rohini Sector 5,2.45,sedan,manual,dealer,second-owner,silver,['2008'],['Honda'],['Petrol'],"['78000', '5']"
52,2009 Maruti Swift Dzire VXi,noida,87000 km•  Petrol•   Ghitorni,1.99,sedan,manual,dealer,second-owner,silver,['2009'],['Maruti'],['Petrol'],['87000']
53,2013 Maruti Swift Dzire LDI,noida,90000 km•  Diesel•   Vikas Puri,3.45,sedan,manual,dealer,second-owner,silver,['2013'],['Maruti'],['Diesel'],['90000']
54,2012 Maruti SX4 Green Vxi (CNG),noida,52000 km•  CNG•   Preet Vihar,2.75,sedan,manual,dealer,second-owner,silver,['2012'],['Maruti'],['CNG'],['52000']
55,2007 Ford Fiesta 1.4 Durasport EXI,noida,73542 km•  Petrol•   Tagore Garden,1.15,sedan,manual,dealer,second-owner,silver,['2007'],['Ford'],['Petrol'],['73542']
56,2012 Volkswagen Vento 1.5 TDI Highline BSIV,noida,52500 km•  Diesel•   Ramesh Nagar,2.9,sedan,manual,dealer,second-owner,silver,['2012'],['Volkswagen'],['Diesel'],['52500']
57,2011 Maruti SX4 ZDI Leather,noida,88000 km•  Diesel•   Vikas Puri,2.25,sedan,manual,dealer,second-owner,silver,['2011'],['Maruti'],['Diesel'],['88000']
58,2013 Hyundai Verna S,noida,71000 km•  Petrol•   Sector 6 - Rohini,3.7,sedan,manual,dealer,second-owner,silver,['2013'],['Hyundai'],['Petrol'],"['71000', '6']"
59,2011 Maruti Swift Dzire 1.2 Vxi BSIV,noida,56000 km•  Petrol•   Sahibabad,2.65,sedan,manual,dealer,second-owner,silver,['2011'],['Maruti'],['Petrol'],['56000']
60,2011 Hyundai Verna 1.6 SX CRDi (O),noida,78000 km•  Diesel•   Ghaziabad,3.75,sedan,manual,dealer,second-owner,silver,['2011'],['Hyundai'],['Diesel'],['78000']
61,2010 Volkswagen Jetta 1.6 Trendline,noida,75000 km•  Petrol,2.5,sedan,manual,individual,second-owner,silver,['2010'],['Volkswagen'],['Petrol'],['75000']
62,2006 Honda City 1.5 EXI,noida,150000 km•  Petrol•   Jangpura,77777,sedan,manual,dealer,third-owner-or-more,silver,['2006'],['Honda'],['Petrol'],['150000']
63,2010 Maruti SX4 Green Vxi (CNG),noida,65000 km•  CNG•   Karampura,1.85,sedan,manual,dealer,third-owner-or-more,silver,['2010'],['Maruti'],['CNG'],['65000']
64,2009 Skoda Superb Elegance 1.8 TSI MT,noida,61349 km•  Petrol•   Jangpura,2.78,sedan,manual,dealer,third-owner-or-more,silver,['2009'],['Skoda'],['Petrol'],['61349']
65,2006 Honda City GXi,noida,110000 km•  Petrol,72000,sedan,manual,individual,third-owner-or-more,silver,['2006'],['Honda'],['Petrol'],['110000']
66,2008 Maruti Swift Dzire VXi,noida,120000 km•  Petrol,1.35,sedan,manual,individual,third-owner-or-more,silver,['2008'],['Maruti'],['Petrol'],['120000']
67,2008 Maruti SX4 Zxi BSIII,noida,84000 km•  Petrol,1.37,sedan,manual,individual,third-owner-or-more,silver,['2008'],['Maruti'],['Petrol'],['84000']
68,2007 Hyundai Accent GLE,noida,90000 km•  Petrol,1.2,sedan,manual,individual,third-owner-or-more,silver,['2007'],['Hyundai'],['Petrol'],['90000']
69,2011 Toyota Corolla Altis Diesel D4DJ,noida,128000 km•  Diesel,3.75,sedan,manual,individual,third-owner-or-more,silver,['2011'],['Toyota'],['Diesel'],['128000']
70,2008 Maruti Swift Dzire VXi,noida,100000 km•  Petrol,2.75,sedan,manual,individual,third-owner-or-more,silver,['2008'],['Maruti'],['Petrol'],['100000']
71,2018 Honda City Edge Edition SV,noida,28000 km•  Petrol•   Shalimar Bagh,8.25,sedan,manual,dealer,first-owner,red,['2018'],['Honda'],['Petrol'],['28000']
72,2018 Hyundai Verna SX Opt,noida,13000 km•  Petrol•   Preet Vihar,10.75,sedan,manual,dealer,first-owner,red,['2018'],['Hyundai'],['Petrol'],['13000']
73,2016 Honda City i-DTEC VX,noida,56000 km•  Diesel•   Prashant Vihar,5.9,sedan,manual,dealer,first-owner,red,['2016'],['Honda'],['Diesel'],['56000']
74,2015 Ford Figo Aspire 1.5 TDCi Titanium,noida,41000 km•  Diesel•   Prashant Vihar,4.9,sedan,manual,dealer,first-owner,red,['2015'],['Ford'],['Diesel'],['41000']
75,2014 Honda Amaze S i-Vtech,noida,49888 km•  Petrol•   Jangpura,3.56,sedan,manual,dealer,first-owner,red,['2014'],['Honda'],['Petrol'],['49888']
76,2013 Toyota Etios GD,noida,54000 km•  Diesel•   Karol Bagh,3.3,sedan,manual,dealer,first-owner,red,['2013'],['Toyota'],['Diesel'],['54000']
77,2014 Honda City i DTEC SV,noida,58000 km•  Diesel•   Babarpur,5.25,sedan,manual,dealer,first-owner,red,['2014'],['Honda'],['Diesel'],['58000']
78,2015 Maruti Ciaz ZXi,noida,47000 km•  Petrol•   Rajouri Garden,6.4,sedan,manual,dealer,first-owner,red,['2015'],['Maruti'],['Petrol'],['47000']
79,2016 Honda City i-DTEC SV,noida,50000 km•  Diesel•   Karol Bagh,6.75,sedan,manual,dealer,first-owner,red,['2016'],['Honda'],['Diesel'],['50000']
80,2011 Volkswagen Vento 1.5 TDI Highline,noida,65000 km•  Diesel•   Karol Bagh,2.9,sedan,manual,dealer,first-owner,red,['2011'],['Volkswagen'],['Diesel'],['65000']
81,2010 Honda City 1.5 S MT,noida,45000 km•  Petrol•   Lajpat Nagar,3.15,sedan,manual,dealer,first-owner,red,['2010'],['Honda'],['Petrol'],['45000']
82,2018 Honda City V MT,noida,4500 km•  Petrol•   Geeta Colony,9.25,sedan,manual,dealer,first-owner,red,['2018'],['Honda'],['Petrol'],['4500']
83,2010 Toyota Corolla Altis Diesel D4DG,noida,75828 km•  Diesel•   Lajpat Nagar,3.75,sedan,manual,dealer,first-owner,red,['2010'],['Toyota'],['Diesel'],['75828']
84,2014 Honda City i DTec SV,noida,45000 km•  Diesel•   Delhi,5.35,sedan,manual,dealer,first-owner,red,['2014'],['Honda'],['Diesel'],['45000']
85,2017 Honda Amaze SX i VTEC,noida,41000 km•  Petrol•   Rajouri Garden,5.3,sedan,manual,dealer,first-owner,red,['2017'],['Honda'],['Petrol'],['41000']
86,2014 Honda City i-VTEC S,noida,56000 km•  Petrol•   Lajpat Nagar,5.35,sedan,manual,dealer,first-owner,red,['2014'],['Honda'],['Petrol'],['56000']
87,2017 Maruti Ciaz ZXi Plus,noida,38000 km•  Petrol•   Kirti nagar,7.9,sedan,manual,dealer,first-owner,red,['2017'],['Maruti'],['Petrol'],['38000']
88,2013 Honda City V CVT,noida,68259 km•  Petrol•   Karampura,3.91,sedan,manual,dealer,first-owner,red,['2013'],['Honda'],['Petrol'],['68259']
89,2013 Chevrolet Sail 1.2 LS ABS,noida,41362 km•  Petrol•   Rohini Courts,1.99,sedan,manual,dealer,first-owner,red,['2013'],['Chevrolet'],['Petrol'],['41362']
90,2009 Ford Fiesta 1.4 Duratec EXI Limited Edition,noida,58000 km•  Petrol•   Karol Bagh,1.6,sedan,manual,dealer,first-owner,red,['2009'],['Ford'],['Petrol'],['58000']
91,2006 Honda Civic 1.8 V MT,noida,27000 km•  Petrol,3.9,sedan,manual,individual,first-owner,red,['2006'],['Honda'],['Petrol'],['27000']
92,2011 Honda City 1.5 S MT,noida,60000 km•  Petrol•   Preet Vihar,3.5,sedan,manual,dealer,second-owner,red,['2011'],['Honda'],['Petrol'],['60000']
93,2010 Hyundai Accent Executive,noida,79000 km•  Petrol•   Pandav Nagar,1.95,sedan,manual,dealer,second-owner,red,['2010'],['Hyundai'],['Petrol'],['79000']
