,CarName,city,Fuel_type,car_price,body_type,transmission,seller_type,owner_type,color,Year,Brand,Fuel_used,km_driven
27,2017 Tata Zest Revotron 1.2T XM,delhi-ncr,17800 km•  Petrol,3.91,sedan,manual,individual,first-owner,white,['2017'],['Tata'],['Petrol'],['17800']
28,2017 Honda City i VTEC V,delhi-ncr,9300 km•  Petrol,8.99,sedan,manual,individual,first-owner,white,['2017'],['Honda'],['Petrol'],['9300']
29,2019 Maruti Swift Dzire LXI 1.2 BS IV,delhi-ncr,100000 km•  Petrol,4.5,sedan,manual,individual,first-owner,white,['2019'],['Maruti'],['Petrol'],['100000']
30,2013 Chevrolet Cruze LT,delhi-ncr,50000 km•  Diesel,4,sedan,manual,individual,first-owner,white,['2013'],['Chevrolet'],['Diesel'],['50000']
31,2019 Maruti Ciaz 1.3 Alpha,delhi-ncr,30000 km•  Diesel,9,sedan,manual,individual,first-owner,white,['2019'],['Maruti'],['Diesel'],['30000']
32,2017 Maruti Swift Dzire ZXI Plus BS IV,delhi-ncr,42700 km•  Petrol,6,sedan,manual,individual,first-owner,white,['2017'],['Maruti'],['Petrol'],['42700']
33,2013 Maruti Swift Dzire VDI,delhi-ncr,60000 km•  Diesel,4.25,sedan,manual,individual,first-owner,white,['2013'],['Maruti'],['Diesel'],['60000']
34,2015 Skoda Octavia Ambition 1.4 TSI MT,delhi-ncr,35000 km•  Petrol,9.2,sedan,manual,individual,first-owner,white,['2015'],['Skoda'],['Petrol'],['35000']
35,2013 Hyundai Verna 1.6 SX,delhi-ncr,77000 km•  Diesel,4.85,sedan,manual,individual,first-owner,white,['2013'],['Hyundai'],['Diesel'],['77000']
36,2011 Maruti Swift Dzire VDi,delhi-ncr,87000 km•  Diesel,2.6,sedan,manual,individual,first-owner,white,['2011'],['Maruti'],['Diesel'],['87000']
37,2018 Honda City i-VTEC V,delhi-ncr,50000 km•  Petrol,9,sedan,manual,individual,first-owner,white,['2018'],['Honda'],['Petrol'],['50000']
38,2015 Maruti Swift Dzire LDI,delhi-ncr,80000 km•  Diesel,3.65,sedan,manual,individual,first-owner,white,['2015'],['Maruti'],['Diesel'],['80000']
39,2012 Hyundai Verna 1.6 SX VTVT,delhi-ncr,15000 km•  Petrol,5,sedan,manual,individual,first-owner,white,['2012'],['Hyundai'],['Petrol'],['15000']
40,2016 Honda City i VTEC V,delhi-ncr,50000 km•  Petrol•   Naraina,6.75,sedan,manual,dealer,second-owner,white,['2016'],['Honda'],['Petrol'],['50000']
41,2010 Skoda Superb Elegance 1.8 TSI AT,delhi-ncr,50000 km•  Petrol•   Pandav Nagar,4.85,sedan,manual,dealer,second-owner,white,['2010'],['Skoda'],['Petrol'],['50000']
42,2011 Maruti SX4 Vxi BSIV,delhi-ncr,58324 km•  Petrol•   Tagore Garden,2.35,sedan,manual,dealer,second-owner,white,['2011'],['Maruti'],['Petrol'],['58324']
43,2009 Honda Civic 1.8 S MT,delhi-ncr,85000 km•  Petrol•   Sector 19,2.55,sedan,manual,dealer,second-owner,white,['2009'],['Honda'],['Petrol'],"['85000', '19']"
44,2019 Hyundai Verna 1.6 SX VTVT,delhi-ncr,12000 km•  Petrol•   Preet Vihar,9.75,sedan,manual,dealer,second-owner,white,['2019'],['Hyundai'],['Petrol'],['12000']
45,2014 Volkswagen Vento Diesel Comfortline,delhi-ncr,70000 km•  Diesel•   Karol Bagh,3.5,sedan,manual,dealer,second-owner,white,['2014'],['Volkswagen'],['Diesel'],['70000']
46,2013 Ford Fiesta Classic 1.6 Duratec CLXI,delhi-ncr,58001 km•  Petrol•   Shakarpur,2.55,sedan,manual,dealer,second-owner,white,['2013'],['Ford'],['Petrol'],['58001']
47,2012 Honda City 1.5 S MT,delhi-ncr,95000 km•  Petrol•   Delhi,3.5,sedan,manual,dealer,second-owner,white,['2012'],['Honda'],['Petrol'],['95000']
48,2010 Toyota Corolla Altis G,delhi-ncr,65000 km•  Petrol•   Ramesh Nagar,2.8,sedan,manual,dealer,second-owner,white,['2010'],['Toyota'],['Petrol'],['65000']
49,2011 Hyundai Verna 1.6 CRDi EX MT,delhi-ncr,83215 km•  Diesel•   Chander Nagar,2.85,sedan,manual,dealer,second-owner,white,['2011'],['Hyundai'],['Diesel'],['83215']
50,2011 Toyota Corolla Altis 1.8 J,delhi-ncr,50000 km•  Petrol•   Karol Bagh,3.4,sedan,manual,dealer,second-owner,white,['2011'],['Toyota'],['Petrol'],['50000']
51,2014 Honda City i DTec V,delhi-ncr,69000 km•  Diesel•   Rajouri Garden,4.75,sedan,manual,dealer,second-owner,white,['2014'],['Honda'],['Diesel'],['69000']
52,2014 Honda City i DTEC SV,delhi-ncr,61000 km•  Diesel•   Ramesh Nagar,4.95,sedan,manual,dealer,second-owner,white,['2014'],['Honda'],['Diesel'],['61000']
53,2013 Honda Amaze S Diesel,delhi-ncr,75000 km•  Diesel•   Raj Nagar Extension S.O,3.25,sedan,manual,dealer,second-owner,white,['2013'],['Honda'],['Diesel'],['75000']
54,2013 Maruti SX4 VDI,delhi-ncr,62000 km•  Diesel•   Karol Bagh,2.85,sedan,manual,dealer,second-owner,white,['2013'],['Maruti'],['Diesel'],['62000']
55,2011 Honda City 1.5 V MT Exclusive,delhi-ncr,55000 km•  Petrol•   Indra Vihar,3.61,sedan,manual,dealer,second-owner,white,['2011'],['Honda'],['Petrol'],['55000']
56,2012 Maruti Swift Dzire 1.2 Vxi BSIV,delhi-ncr,43000 km•  Petrol•   Jangpura,3.33,sedan,manual,dealer,second-owner,white,['2012'],['Maruti'],['Petrol'],['43000']
57,2014 Ford Fiesta Classic 1.6 Duratec LXI,delhi-ncr,77000 km•  Petrol•   Ramesh Nagar,2.85,sedan,manual,dealer,second-owner,white,['2014'],['Ford'],['Petrol'],['77000']
